segment	name	url	memo	reason
organic-shop	日本のコスメ 茉華（まつりか）	https://matsuricaweb.com/	国産自然派コスメ専門セレクトショップ（東急プラザ銀座・オンライン）	「生産者と出会える」を掲げ直接仕入れる方針で、作り手の物語重視の小規模国産ブランドと相性が良い
organic-shop	HOLISTIC JAPAN（ホリスティックジャパン）	https://holisticjapan.com/	国産オーガニックコスメのセレクトショップ（オンライン）	人と地球に優しい国産オーガニックコスメのみを識者がセレクトする編集方針で、国産小規模ヘアケアの提案先として適合
organic-shop	organic room（オーガニックルーム）	https://organicroom.jp/	オーガニック・自然派コスメのセレクトショップ	本物志向のオーガニック製品を厳選するコスメ専門セレクトで、自然派シャンプーのカテゴリ適合度が高い
organic-shop	style table（スタイルテーブル）	https://styletable.jp/	エシカル×サステナブル×ヴィーガンのセレクトショップ（代官山発・複数店舗）	ブランドストーリー発信を重視し「JAPAN MADE」オーガニックコスメフェアの開催実績あり
organic-shop	Ethical&SEA（エシカルシー）	https://ethicalsea.com/	エシカルセレクトショップ（東京・神奈川・大阪・沖縄＋オンライン）	オーガニックコスメ・フード・雑貨約500種を編集する複数店舗展開のセレクトで、エシカルヘアケアの棚がある
organic-shop	SEPLÚMO（セプルモ）	https://seplumo.com/	エシカル商品のオンラインセレクトショップ	「作り手の温かみとストーリーを感じられる商品」を8つのエシカル基準で選ぶ方針が、開発者個人製造のブランドと合致
organic-shop	minimal living tokyo.	https://minimal-living-tokyo.com/	ゼロウェイスト・プラスチックフリーのセレクトショップ	肌に触れるオーガニックアイテムを生産背景まで吟味して扱う小規模ショップで提案が届きやすい
organic-shop	クレヨンハウス	https://www.crayonhouse.co.jp/	オーガニックフーズ・コスメ・雑貨の専門店（吉祥寺・大阪＋通販）	国産自然派シャンプーの取扱実績が確認でき、オーガニックヘアケア売場が既にある
organic-shop	GOOD NATURE STATION	https://online.goodnaturestation.com/	京都発オーガニック・サステナブル複合施設＋通販	オーガニックヘアケア専門カテゴリを持ち、作り手系の雑貨編集にも積極的
organic-shop	ナチュラルハウス	https://naturalhouse.co.jp/	自然食品・自然化粧品の専門店（青山ほか）	自然化粧品と生活用品まで扱う老舗自然派チェーンで、国産ブランド提案の余地がある
organic-shop	BIOSOPRA（ビオソプラ）	https://bio-sopra.com/	新橋の国産オーガニックコスメセレクトショップ	国産オーガニックコスメを選び紹介する編集姿勢で、日本製・安心にこだわる小規模ブランドと親和性が高い
organic-shop	MASH GO GREEN STORE（コスメキッチン）	https://www.cosmekitchen-webstore.jp/	ナチュラル＆オーガニックコスメのセレクトショップ（全国＋通販）	国内最大級のナチュラルコスメセレクトでヘアケアの取扱ブランド数が多く、卸実績づくりの本命候補
organic-shop	ethicame（エシカミー）	https://ethicame.com/	エシカル・オーガニックコスメの通販セレクトショップ	オーガニックシャンプー特集記事を自ら発信するコスメ特化ECで、商品ストーリー訴求と相性が良い
organic-shop	エシカルな暮らし（Ethical House）	https://ethicalhouse.jp/	エシカル商品のセレクトショップ（上野＋オンライン）	生活日用品カテゴリを常設し情報発信にも熱心で、こだわり日用品の追加提案がしやすい
organic-shop	ethikura（エシクラ）	https://ethikura.com/	エシカルな暮らしをテーマにしたオンラインセレクトショップ	人や地球に優しい暮らしの品を編集する小規模ECで、小ロットの新規ブランドでも掲載提案が届きやすい
organic-shop	R for D（渋谷・神泉）	https://rford.deedfashion.com/	渋谷・神泉のセレクトショップ（通販あり）	国産オーガニックコスメブランドの取扱実績が確認でき、感度の高い日用品編集を行う小規模店
organic-shop	Kirei marche by aming（キレイマルシェ）	https://www.aming.co.jp/f/kireimarche	ナチュラル・オーガニック厳選コスメの通販サイト	ナチュラル・オーガニックの厳選コスメを集める通販セレクトで、3,300円帯の自然派ヘアケアが価格帯的に合う
organic-shop	ナチュリブ	http://www.naturliv.jp	ナチュラル雑貨のセレクトショップ	ナチュラル雑貨専門の小規模セレクトで、こだわり日用品としてのオーガニックヘアケア追加を提案しやすい
salon	HAIR SALON mieno（自由が丘）	https://mieno.net/	美容室（東京・自由が丘）	オーガニック商材へのこだわりを公式サイトで明言しており、オーガニックシャンプーの紹介ページまで持つためコンセプトが一致
salon	Unleash（目黒）	https://www.unleashhair.com/	オーガニック美容室（東京・目黒）	薬剤・水・香りまでオーガニックにこだわる「ロハス」志向サロンで自然派店販商材と親和性が高い
salon	SABO（恵比寿）	https://www.sabohair.com/	オーガニックヘアサロン（東京・恵比寿）	「自然と共生するオーガニックサロン」を掲げ天然由来のヘアケアメニューが豊富でブランド思想が合致
salon	uni organic（銀座）	https://uni.organic/	天然ヘナ・自然派サロン（東京・銀座）	天然ヘナをはじめ自然派施術専門の個店で、化学物質を避ける顧客層が購買層と重なる
salon	hairsalon umi（表参道）	https://www.umihair.salon/	自然派プライベートサロン（東京・表参道）	天然ヘナなど自然派施術を行うプライベートサロンで決裁が早く、こだわり商材の提案が通りやすい
salon	マシュー広尾	https://hennatokyo.jp/	天然100%ヘナ特化美容室（東京・広尾）	天然100%ヘナ染めに特化した自然派サロンで、ノンケミカル志向の顧客への店販商材として適合
salon	TRANSFORM（鷺ノ宮）	https://www.transform.jp/	天然ヘナ100%・ハーブ専門店（東京）	無農薬・天然ヘナ100%専門を掲げる自然派美容室でオーガニックヘアケアの店販と相性が良い
salon	ヘナ・ファクトリー	https://henna-factory.com/	ヘナ専門美容室（東京・埼玉、小規模チェーン）	敏感層が顧客の天然100%ヘナ専門店で、低刺激オーガニックシャンプーの需要が見込める
salon	コロリエ	https://www.hennasalon-colorier.com/	オーガニックヘナ・ハーブ専門美容室	15種以上のハーブやアロマを個別調合するヘナ専門店で、自然素材へのこだわりがブランドコンセプトと一致
salon	髪音	http://organic-kamioto.com/	ノンケミカル・ボタニカルサロン（完全予約制）	薬剤を一切使わないノンケミカル・ヘナ専門の個店サロンでオーガニック店販商材への感度が高い
salon	ラフール	https://lafoule.org/	ヘナ100%自然派美容室（東京）	天然ヘナ100%を30年以上続ける自然派美容室で、自然派顧客基盤への店販提案がしやすい
salon	自然派美容室つむぎ（大阪・南船場）	https://salon-tumugi.net/	自然派美容室（個店）	湯シャン・せっけんシャンプー・天然ヘナ等の素髪重視サロンで、成分にこだわるシャンプーの提案先として最適
salon	Hair Therapy EBISU（大阪・豊中）	https://hn-ebisu.com/	オーガニックヘナ＆天然由来パーマ専門店	最高ランクのオーガニックヘナ使用を掲げ全国からナチュラル志向客が来店しており顧客層が一致
salon	True Organics Hair Co.	https://www.trueorganicshairco.com/	オーガニック・ヘナ美容室（大阪、小規模チェーン）	「本物のオーガニック」「ノン&ローケミカル」を原則に掲げる小規模グループでブランド思想が強く合致
salon	ENGARO（大阪）	https://www.engaro.co.jp/	オーガニックサロン	自然由来93%以上のオーガニックカラーを打ち出し、こだわり商材を扱う実績があり店販に積極的
salon	esiotrot（大阪・新町/堀江）	https://www.esiotrot.jp/	ヘナとオーガニックの美容室	ヘナとオーガニックを看板に掲げる都市部の個店で、自然派店販商材の導入ハードルが低い
salon	SRI（大阪）	https://sri-upstairs.com/	ヘナ専門・アーユルヴェーダ系ヘッドスパサロン	体と地球に優しい美容法を発信するヘナ・ヘッドスパ専門店で頭皮ケア系オーガニックシャンプーと親和性が高い
salon	R hair（福岡・薬院）	https://www.r-hair.com/	ナチュラル＆オーガニックサロン	自然派商材を複数店販しており、こだわりブランドの追加導入余地がある
salon	Aroma&ivory（福岡・西新）	https://aromaandivory.com/	無添加・オーガニックヘアサロン	無添加など成分へのこだわりを打ち出す個店で、オーガニックシャンプーのコンセプトと一致
salon	サロンドピュア（名古屋・瑞穂区）	https://pure-b.com/	オーガニックヘアサロン	ナチュラルオーガニックをテーマにした個店で、自然由来メニュー中心のため店販提案が通りやすい
hotel	カミツレの宿 八寿恵荘	https://yasuesou.com/	小規模宿（長野・池田町、全7室）	日本初のBIO HOTEL認証宿でアメニティまでオーガニックに徹底しており、自然派コスメ導入の親和性が極めて高い
hotel	おとぎの宿 米屋	https://e-yoneya.com/	温泉旅館（福島・須賀川）	日本初のビオホテル認定温泉旅館で、オーガニック認証コスメのアメニティ導入など方針が合致する
hotel	Auberge erba stella	https://www.erbastella.com/	オーベルジュ（北海道・中富良野、全3室）	北海道唯一のBIO HOTELS JAPAN認証宿でオーナー夫婦経営のため購買判断が近い
hotel	扉温泉 明神館	https://www.tobira-group.com/myojinkan/	温泉旅館（長野・松本の一軒宿）	無農薬野菜のオーガニックフレンチやオーガニックリネン寝具など自然素材の客室づくりを打ち出している
hotel	里山十帖	https://www.satoyama-jujo.com/	温泉旅館（新潟・南魚沼、全13室）	オーガニックコットンタオルなど環境配慮アメニティを公式に掲げ、肌と環境にやさしい備え付けシャンプーを選定する方針
hotel	ホテルクアビオ	https://www.kurbio.com/	ウェルネスリゾート（群馬・草津温泉、全11室）	ファスティングとマクロビを軸にしたウェルネスリゾートで、有機・自然派志向の顧客層がブランドと重なる
hotel	湯河原リトリート ご縁の杜	https://goennomori.jp/	温泉リトリート宿（神奈川・湯河原、全10室）	ヴィーガン料理と瞑想・ヨガ特化の小規模温泉宿で、自然派アメニティが世界観に直結する
hotel	江之浦リトリート凛門	https://enoura-rimon.com/	リトリートリゾート（神奈川・小田原）	湯治をコンセプトにしたウェルネスリトリートで、スパ・客室アメニティとしてオーガニック製品との親和性が高い
hotel	ENOWA YUFUIN	https://enowa-yufuin.jp/	オーベルジュ／ウェルネスリゾート（大分・由布院）	Farm to Tableとウェルネスツーリズムを掲げ、ナチュラル志向の高価格帯アメニティが好適
hotel	yuzaka natural & sustainable inn	https://www.yuzaka.info/	温泉ゲストハウス（秋田・鹿角、全4室）	「natural & sustainable」を掲げエシカルなアメニティ選定を実践する夫婦経営の宿
hotel	アクアイグニス（湯の山温泉）	https://aquaignis.jp/	温泉・癒しと食の複合リゾート（三重）	「オーガニック離れ宿」を展開するなどオーガニックを冠した客室があり、売店・スパ商材の展開余地も大きい
hotel	GOOD NATURE HOTEL KYOTO	https://goodnaturehotels.com/	ホテル（京都・河原町）	オーガニックコスメをアメニティ採用しエシカル物販フロアも併設、自然派コスメの売店取扱い実績がある
hotel	オーベルジュ清里	https://kiyosato-auberge.com/	オーベルジュ（山梨・八ヶ岳）	自家製無農薬野菜やオーガニック食材の料理を打ち出しており、自然派の世界観に合う
hotel	花の森クラリス	http://izukogen-claris.com/	オーベルジュ（静岡・伊豆高原、全8室）	全室露天風呂付きの小規模宿で、バスアメニティのグレードアップ提案がしやすい
hotel	オーパヴィラージュ	https://opavillage.com/	オーベルジュ（千葉・館山）	自家菜園野菜のフレンチを掲げる独立系宿で、貸切風呂などバスアメニティの使用シーンが多い
hotel	由布院 玉の湯	https://tamanoyu.co.jp/	温泉旅館（大分・由布院、老舗独立系）	繊細な世界観を貫く離れ宿で、上質な自然派アメニティが客層・単価に合う
esthe	オーガニックライフTOKYO	https://www.organiclifetokyo.com/	ヨガスタジオ（東京）	スタジオ名にオーガニックを掲げるヨガスタジオで、自然派志向の顧客層との親和性が高い
esthe	ヨガスタジオKURA	https://yogakura.com/	ヨガスタジオ（物販あり）	無添加食品や有機コーヒー等をスタッフが厳選して物販しており、こだわり商品の店販文化が既にある
esthe	TAMISA	https://tamisa-yoga.com/	ヨガスタジオ＋カフェ（京都）	自然素材製品を取り扱っており、自然派物販の実績がある
esthe	オーガニックヨガスタジオ野の花	https://nonohana-kaori.com/	ヨガスタジオ（さいたま市）	「オーガニックヨガスタジオ」を名乗る自然素材志向の小規模スタジオで、ブランド哲学の共感が得やすい
esthe	SUGATA	https://www.sugata.co.jp/	ヨガ・ピラティススタジオ（鎌倉）	自然と調和したライフスタイル型スタジオで、ナチュラル志向の会員が集まる
esthe	Yoga Retreat Village kSaNa	https://yoga.okinawa/	ヨガリトリート施設（石垣島）	身体に優しいカフェを併設するリトリート施設で、滞在客向けの自然派アメニティ・物販と相性が良い
esthe	Ayurveda salon tulsi	https://www.ayurvedasalontulsi.com/	アーユルヴェーダサロン（東京・女性限定）	1組ずつ迎える女性限定プライベートサロンで、オイルケアに親和的な顧客への店販提案がしやすい
esthe	AyurAyus（アーユルアーユス）	http://ayurayus.com/	アーユルヴェーダ一軒家サロン	1日2名限定でオーガニック/ヴィーガンの提供も行うなど、オーガニックへの明確なこだわりがある
esthe	アーユルヴェーダサロン Suay	https://suay.me/	アーユルヴェーダサロン（渋谷区幡ヶ谷）	1日2組限定の完全個室プライベートサロンで、顧客との深い関係を活かした少量店販に向く
esthe	Karunakarala（カルナカララ）代官山	https://karunakarala.jp/daikanyama/	アーユルヴェーダ＋ヘアサロン（代官山）	オーガニックヘナを扱うヘアサロン併設で、オーガニックシャンプーと直結する
esthe	アーユルヴェーダサロンAnila	https://www.anila.jp/	アーユルヴェーダサロン（新宿）	個人規模のサロンで、こだわり商材の柔軟な導入が期待できる
esthe	Naplu（ナプラ）	https://www.naplu.net/	ホリスティックケア・アロマサロン	自然療法を取り入れたホリスティックサロンで、化学成分を避けたい顧客層への提案がしやすい
esthe	ナチュリール ふじみ野店	https://www.naturire.com/	オーガニックアロマテラピーサロン（埼玉）	植物由来のこだわりオーガニック製品のみを使用する小規模プライベートサロン
esthe	Naturelle	http://www.naturelle-aroma.com/	アロマセラピーサロン	オーガニック精油を使用する隠れ家的サロンで、オーガニックブランドの店販導入余地がある
esthe	aromatico（アロマティコ）	https://www.aromatico-salon.com/	オーガニックアロマサロン＆スクール（名古屋）	オーガニック認証製品を使用するサロン兼スクールで、生徒・顧客双方への物販展開が見込める
esthe	ファシオール	https://facior.jp/	オーガニック総合エステサロン（福山・神戸）	オーガニックコスメの物販を積極的に行っており、店販導入の素地が整っている
esthe	アンリュミエール	https://www.enlumiere.jp/	オーガニックエステサロン	「こだわりオーガニックコスメ」を公式サイトで紹介するエステサロンで、商材選定基準が合致しやすい
esthe	オーガニックエステサロンfuu	https://spafukuoka.com/	オーガニックエステサロン（福岡）	カウンセリング型サロンで、マタニティ層など低刺激ヘアケア需要が見込める
esthe	オーガニックエステ&よもぎ蒸しサロン 結 -Yu-	https://organic-yu.studio.site/	オーガニックエステ・よもぎ蒸しサロン	店名にオーガニックを掲げる小規模サロンで、自然派志向の常連顧客への店販提案がしやすい
gift-company	シャディ株式会社	https://shaddy.jp/	ギフト卸・カタログギフト大手	商品提案の紹介フォームを設けており、内祝い・引出物チャネルとして有望
gift-company	リンベル株式会社	https://www.ringbell.co.jp/	カタログギフト業界最大手	約4,000社の仕入先と取引する「ギフトの総合商社」で、バイヤーへの商品提案が可能
gift-company	株式会社ハーモニック	https://www.harmonick.co.jp/	カタログギフト制作メーカー（業界大手）	引出物・出産内祝い向けカタログへの掲載提案先として規模が大きい
gift-company	株式会社ギフトパッド	https://giftpad.co.jp/publish	オンラインカタログギフト・eギフト	「商品掲載をご希望のお客様へ」専用ページで掲載パートナーを常時募集しており提案窓口が明確
gift-company	株式会社ギフティ（giftee for Business）	https://giftee.biz/	法人向けデジタルギフトプラットフォーム	ブランド商品のeギフト化・出店を受け付けており、ノベルティ・景品用途での採用ルートになる
gift-company	TANP（株式会社タンプ）	https://tanp.jp/	日本最大級ギフト専門ECサイト	「店舗・企業の皆さまへ」ページで出品ブランドの問い合わせを受け付けており親和性が高い
gift-company	アピデ株式会社	https://www.apides.co.jp/	カタログギフト企画・販売	1,200社超のメーカー商品を取り扱うカタログギフト会社で、新規商材の仕入れ提案余地が大きい
gift-company	株式会社千趣会（法人向け）	https://www.senshukai.co.jp/btob/	ベルメゾン運営・法人向けカタログギフト	法人事業サイトに提案フォームがあり、キャンペーン向け商材の仕入れルートを常時構築している
gift-company	株式会社ベネフィット・ワン	https://corp.benefit-one.co.jp/	福利厚生サービス運営	提携企業・パートナー募集の専用ページを持ち、会員企業向けメニューへの商品掲載を受け付けている
gift-company	株式会社リロクラブ	https://www.reloclub.jp/	福利厚生倶楽部運営（福利厚生代行大手）	サービス提携募集ページを設けており、会員サイトへの商品掲載が可能と明記されている
gift-company	株式会社東亞	https://toa-group.jp/	ノベルティ・販促品の企画卸	サプライヤー募集ページで商品提供を常時受け付けると明記しており窓口が明確
gift-company	販促品・景品・ノベルティ特価市	http://www.tokkaichi.com/	ノベルティ・販促品EC	サプライヤー募集ページで商品情報提供を常時受け付けており、掲載提案がしやすい
gift-company	株式会社ハンズ	https://info.hands.net/	生活雑貨小売（ギフト需要大）	「新商品のご提案受付」専用エントリーシートを公開しており、コスメ系新商材の持ち込み窓口が整備されている
gift-company	ギフトイット	https://www.giftit.co.jp/	名入れノベルティ・記念品・カタログギフト専門	SDGsノベルティ特集を展開する記念品専門店で、オーガニック商材のノベルティ提案先として適合
gift-company	販促品流通センター	https://www.hansokuhin.com/	ノベルティ・記念品EC	SDGs関連の「オーガニック」カテゴリを常設する販促品サイトで、オーガニック処方商材の需要が確認できる
gift-company	ミルポッシェ（milpoche）	https://milpoche.jp/	出産内祝い・総合ギフト専門EC	出産内祝い特化のギフトショップで、家族で使えるやさしい処方の内祝い商材と客層が一致
gift-company	たまひよの内祝（ベネッセ）	https://shop.benesse.ne.jp/gift/	出産内祝い専門通販	育児メディア会員基盤を持つ内祝い大手ECで、赤ちゃんのいる家庭向けオーガニック商材の掲載先として親和性が高い
gift-company	ゼクシィ内祝い（リクルート）	https://uchiiwai.zexy.net/	結婚・出産内祝い通販	引出物・内祝い用途の3,300円帯ギフトの掲載チャネルとして規模と適合性がある
maternity	産後ケアホテル マームガーデンリゾート葉山	https://www.mom-garden.jp/	産後ケア（宿泊型ホテル）	日本最大級のリゾート型産後ケアホテルで、母子向けアメニティとしてやさしい処方のヘアケアが提案しやすい
maternity	Mommy Camp（マミーキャンプ）	https://mommycamp.jp/	産後ケア（宿泊型ホテル）	「日本初の産後ケアホテル」を掲げる宿泊型施設で、低刺激・家族で使える処方との親和性が高い
maternity	産前産後ケアホテル ぶどうの木	https://ppch-j.com/	産後ケア（宿泊型ホテル）	産前から産後まで一貫ケアを行う宿泊型施設で、妊産婦向けアメニティ・物販としての採用余地がある
maternity	AMATERASU（ホテル椿山荘東京）	https://hotel-chinzanso-tokyo.jp/baby-amaterasu/	産後ケア（ホテル型サービス）	国内最大規模をうたう産後ケアホテルブランドで、高価格帯ホテルの客室アメニティとして価格帯が釣り合う
maternity	Mamma Levata in IMPERIAL HOTEL OSAKA	https://mamma-levata.com/osaka/	産後ケア（ホテル型サービス）	帝国ホテル大阪内の産後ケア宿泊サービスで、上質志向の宿泊者向けアメニティ・ギフト需要が見込める
maternity	ホテルステイ産後ケア ヨリドコロ。（京急）	https://sangocare.keikyu.co.jp/	産後ケア（ホテル型サービス）	京急グループ運営のホテルステイ型産後ケアで、母子向けバスアメニティとして低刺激処方の提案が合う
maternity	世田谷区立産後ケアセンター	https://sango-midwife.jp/	産後ケア（日本助産師会 運営受託）	助産師によるケア現場での備品・物販として家族で使える処方が適する
maternity	健康科学大学産前産後ケアセンター	https://www.kenkoudai.ac.jp/sangocare/	産後ケア（産前産後ケアセンター）	助産師のケアを軸にした宿泊型施設で、滞在中の妊産婦向けアメニティ需要がある
maternity	cuna select（クーナ・セレクト）	https://select.cuna.jp/	ベビー用品セレクトショップ（EC）	「おしゃれ・エコ・オーガニック」をセレクト基準に掲げるベビー用品ECで、商品コンセプトに直結する
maternity	blossom39（ブロッサム39）	https://www.blossom39.com/	ベビー用品セレクトショップ（実店舗＋EC）	実店舗網とギフト需要があり、出産祝いギフト文脈での取扱提案がしやすい
ec-mall	IN YOU MARKET	https://inyoumarket.com/	オーガニック専門マーケットプレイス	「国内一厳しい基準」を掲げるオーガニック専門ECで、出品者募集を随時行っている
ec-mall	BECOS（ベコス）	https://thebecos.com/	日本製品特化EC	Made in Japanブランド特化のECで、出店者向けサイトにて出品ブランドを公式に募集している
ec-mall	キナリノモール	https://mall.kinarino.jp/	暮らし・ライフスタイル系モール	優良ブランドの発掘・新規出店支援を行っており自然派日用品との客層親和性が高い
ec-mall	スタイルストア	https://stylestore.jp/	つくり手セレクトEC	「つくり手の顔が見える」ものづくり系セレクトECで、ストーリーを持つ小規模ブランドの取り扱い実績が多い
ec-mall	藤巻百貨店	https://fujimaki-select.com/	日本の逸品セレクトEC	目利きが選ぶ日本の逸品を扱うネット百貨店で、ギフト・こだわり日用品カテゴリでの掲載提案が可能
ec-mall	ELEMINIST SHOP（エレミニスト）	https://shop.eleminist.com/	エシカル・サステナブルEC	メディア連動型ECで、オーガニック処方・家族で使える日用品というブランド特性が選定基準に合致
